Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Chennai Super Kings Battle Of Chepauk 2,Sports,Nextwave Multimedia,https://play.google.com/store/apps/dev?id=9127085344518131769,4.6,33992,1494,374,1370,3013,27741
3D Koi Fish Theme & Lively 3D Ripple Effect,Personalization,3D Theme & HD Live Wallpaper,https://play.google.com/store/apps/dev?id=7060549902030937081,4.6,3100,82,30,167,355,2466
Iron Throne,Strategy,Netmarble,https://play.google.com/store/apps/dev?id=5258410538530331508,4.5,16461,896,265,848,2286,12166
Vice Auto Theft City,Action,Tap - Free Games,https://play.google.com/store/apps/developer?id=Tap+-+Free+Games,4.1,1474,242,41,75,85,1031
US Police limousine Car Quad Bike Transporter Game,Simulation,Great Games Studio,https://play.google.com/store/apps/developer?id=Great+Games+Studio,4.3,1366,164,35,75,75,1017
Remote Control for All TV,Tools,"Background Changer, Eraser & Booth Photo Editor","https://play.google.com/store/apps/developer?id=Background+Changer,+Eraser+%26+Booth+Photo+Editor",3.8,1531,355,33,119,134,890
Real Car Parking 2 : Driving School 2018,Simulation,Genetic Studios ™,https://play.google.com/store/apps/dev?id=8550478867825785622,4.5,37766,2781,712,1745,3365,29163
Max Clean - Phone Booster,Tools,LISHIHAO,https://play.google.com/store/apps/developer?id=LISHIHAO,4,3915,572,130,349,431,2433
High School Gang,Action,Italy Games,https://play.google.com/store/apps/developer?id=Italy+Games,4.5,3318,152,57,289,403,2417
RC Spy Drone 2018,Simulation,Coding Squares,https://play.google.com/store/apps/dev?id=6609243090034600037,4.2,879,118,18,60,54,629
Will it Crush?,Simulation,VOODOO,https://play.google.com/store/apps/developer?id=VOODOO,3,6144,2583,218,355,308,2680
Number Finder,Communication,POZTechnology,https://play.google.com/store/apps/developer?id=POZTechnology,3.9,3752,843,64,205,216,2424
How to Forward Someone Call to Our Phone?,Tools,Creative Tech Team,https://play.google.com/store/apps/developer?id=Creative+Tech+Team,4.5,231,14,5,18,17,177
Disney Heroes: Battle Mode,Strategy,PerBlue Entertainment,https://play.google.com/store/apps/developer?id=PerBlue+Entertainment,4.6,16598,798,198,686,2175,12741
Solitaire,Card,Toolit Media,https://play.google.com/store/apps/developer?id=Toolit+Media,4.3,769,74,16,54,82,543
Truck Driver Simulator,Simulation,tasoandorra,https://play.google.com/store/apps/developer?id=tasoandorra,4.3,257,25,5,18,24,185
Flying Arrow,Arcade,VOODOO,https://play.google.com/store/apps/developer?id=VOODOO,3.7,12738,3193,463,822,1052,7208
Idea Smart - Retailer,Business,Idea Cellular Ltd.,https://play.google.com/store/apps/developer?id=Idea+Cellular+Ltd.,4.3,2985,250,93,280,334,2028
Euro Train Simulator 2018,Simulation,Tap - Free Games,https://play.google.com/store/apps/developer?id=Tap+-+Free+Games,4,548,89,14,48,52,345
Navigation Gestures,Personalization,XDA,https://play.google.com/store/apps/developer?id=XDA,4.1,1654,131,65,194,461,803
San Andreas Auto Theft : City Of Crime,Action,GAME TSUNAMI,https://play.google.com/store/apps/developer?id=GAME+TSUNAMI,4.3,1128,124,27,59,82,836
English to Hindi Translator,Tools,Toolskit Zone,https://play.google.com/store/apps/developer?id=Toolskit+Zone,4.1,201,26,8,19,22,126
Russian Car Driver  ZIL 130,Simulation,ABGames89,https://play.google.com/store/apps/dev?id=5952057666589164114,4.5,15808,885,226,852,2142,11703
Car Simulator Veneno,Simulation,Oppana Games,https://play.google.com/store/apps/developer?id=Oppana+Games,4.3,4854,549,99,258,358,3590
Flame Hero,Simulation,Naxeex Publishing,https://play.google.com/store/apps/dev?id=5720237448240252822,4.4,1041,99,18,51,76,797
GiftMoney - Earn money online,Entertainment,Silver Apps development,https://play.google.com/store/apps/developer?id=Silver+Apps+development,3.8,165,40,7,7,11,100
Train Vs Car Racing 2 Player,Racing,MTS Free Games,https://play.google.com/store/apps/developer?id=MTS+Free+Games,4.3,602,67,11,43,57,424
Incredible Monster VS US Army Prison Survival Game,Action,Great Games Studio,https://play.google.com/store/apps/developer?id=Great+Games+Studio,4.4,311,32,3,18,23,235
Music player,Music & Audio,"Tool Apps (music, video, recorder)","https://play.google.com/store/apps/developer?id=Tool+Apps+%28music,+video,+recorder%29",4.3,2989,166,71,335,476,1941
"Meitu Me - Beautify, Selfie, Photo Editor",Photography,"Meitu, Inc.","https://play.google.com/store/apps/developer?id=Meitu,+Inc.",4.2,284,26,10,39,28,181
Coach Bus Tourist Transport Simulator,Simulation,AbsoMech,https://play.google.com/store/apps/developer?id=AbsoMech,4.2,313,43,8,22,23,217
Stunt Bicycle Impossible Tracks Bike Games 2,Simulation,Mekaal Studios,https://play.google.com/store/apps/developer?id=Mekaal+Studios,4.3,353,37,7,16,29,264
True Call Mobile Locator & Caller ID Blocker,Communication,Raising Apps,https://play.google.com/store/apps/developer?id=Raising+Apps,4.2,443,56,9,34,38,306
super flashlight - caller screen,Tools,Excellent Mobile LAB,https://play.google.com/store/apps/developer?id=Excellent+Mobile+LAB,4.6,174,7,4,7,10,146
GiftMoneyPaisa,Entertainment,RRK LOGICS,https://play.google.com/store/apps/developer?id=RRK+LOGICS,3.6,96,29,1,4,6,56
Star sports Live IPL,Sports,UKROOS Media Incl,https://play.google.com/store/apps/developer?id=UKROOS+Media+Incl,4.5,735,46,17,35,65,572
