"Message Quest — adventures of Feste (with ads)","Adventure","TeslaGames","https://play.google.com/store/apps/dev?id=7185759132943310350","4.3","62","7","1","4","4","46"
"Animal Super Squad","Adventure","DoubleMoose Games","https://play.google.com/store/apps/developer?id=DoubleMoose+Games","4.7","192","4","4","8","8","168"
"Getting Over It with Bennett Foddy","Simulation","Noodlecake Studios Inc","https://play.google.com/store/apps/dev?id=9078867188205035581","4.1","248","33","8","16","29","162"
"Homo Machina","Puzzle","ARTE Experience","https://play.google.com/store/apps/developer?id=ARTE+Experience","4.0","96","10","6","7","20","53"
"My Little Princess : Fairy Forest","Educational","My Town Games Ltd","https://play.google.com/store/apps/dev?id=4907572025980617983","4.3","13","2","0","0","1","10"
"My Town : ICEE™ Amusement Park","Educational","My Town Games Ltd","https://play.google.com/store/apps/dev?id=4907572025980617983","4.8","92","3","1","2","4","82"
"Ultimate Farm Simulator","Simulation","Gluten Free Games","https://play.google.com/store/apps/dev?id=6871437821234630609","4.5","38","1","0","3","9","25"
"WonderBlocks","Puzzle","Silicon Studio","https://play.google.com/store/apps/developer?id=Silicon+Studio","4.9","402","3","0","3","15","381"
"Connect - colorful casual game","Casual","AppSoGreat","https://play.google.com/store/apps/developer?id=AppSoGreat","4.4","27","1","1","2","6","17"
"Minesweeper Genius","Puzzle","mgaia studio","https://play.google.com/store/apps/developer?id=mgaia+studio","4.9","25","0","0","1","0","24"
"To the Edge of the Sky - Premium","Casual","Aeon Dream Studios","https://play.google.com/store/apps/dev?id=8982799235103865411","5.0","7","0","0","0","0","7"
"R.B.I. Baseball 18","Sports","MLB Advanced Media, L.P.","https://play.google.com/store/apps/developer?id=MLB+Advanced+Media,+L.P.","4.1","71","6","3","7","15","40"
"My Child Lebensborn","Simulation","Sarepta Studio","https://play.google.com/store/apps/developer?id=Sarepta+Studio","5.0","59","0","0","0","2","57"
"The School - White Day","Adventure","SONNORI","https://play.google.com/store/apps/developer?id=SONNORI","4.5","34","3","0","2","2","27"
"My Singing Monsters Composer","Music","Big Blue Bubble","https://play.google.com/store/apps/dev?id=4772512400666501557","4.2","67","5","2","8","13","39"
"Buried Alive","Puzzle","Trapped","https://play.google.com/store/apps/dev?id=9078315394529202806","4.1","7","0","1","1","1","4"
"supertype","Casual","Philipp Stollenmayer","https://play.google.com/store/apps/developer?id=Philipp+Stollenmayer","4.3","16","2","0","1","1","12"
"Russian Car Driver  ZIL 130 Premium","Simulation","ABGames89","https://play.google.com/store/apps/dev?id=5952057666589164114","4.3","20","1","1","2","3","13"
"메모라이즈 #3 <MEMORIZE> : 형제","Simulation","조아라","https://play.google.com/store/apps/developer?id=%EC%A1%B0%EC%95%84%EB%9D%BC","4.9","64","1","0","0","5","58"
"Shred! 2 - Freeride Mountain Biking","Sports","ASBO Interactive","https://play.google.com/store/apps/developer?id=ASBO+Interactive","5.0","21","0","0","0","1","20"
"Word Search Puzzle","Word","EWES ACADEMY","https://play.google.com/store/apps/dev?id=5916548178366868677","3.0","1","0","0","1","0","0"
"기억을 노래하는 인형","Simulation","아니스 크리에이티브","https://play.google.com/store/apps/developer?id=%EC%95%84%EB%8B%88%EC%8A%A4+%ED%81%AC%EB%A6%AC%EC%97%90%EC%9D%B4%ED%8B%B0%EB%B8%8C","4.8","9","0","0","1","0","8"
"Among the Stars","Board","Cublo","https://play.google.com/store/apps/dev?id=6228750114519237134","4.2","14","0","1","1","6","6"
"Golden Eggs","Strategy","GOLDEN EGGS","https://play.google.com/store/apps/developer?id=GOLDEN+EGGS","3.7","25","2","1","5","11","6"
"Hiveswap Friendsim","Simulation","What Pumpkin Games, Inc.","https://play.google.com/store/apps/developer?id=What+Pumpkin+Games,+Inc.","4.6","29","2","1","0","2","24"
"Funfair Ride Simulator 4","Simulation","Pixelsplit","https://play.google.com/store/apps/dev?id=6726214521466300746","3.7","54","9","2","10","8","25"
"Kevin Toms World Football Cup","Sports","Kevin Toms Ltd","https://play.google.com/store/apps/developer?id=Kevin+Toms+Ltd","5.0","5","0","0","0","0","5"
"Lost Horizon 2","Adventure","Animation Arts Creative GmbH","https://play.google.com/store/apps/developer?id=Animation+Arts+Creative+GmbH","3.3","9","1","1","2","4","1"
