"Weather - unlimited & realtime weather forecast","Weather","Best App - Top Droid Team","https://play.google.com/store/apps/developer?id=Best+App+-+Top+Droid+Team","4.7","2357","39","20","59","290","1949"
"Navigation Gestures Premium Add-On","Personalization","XDA","https://play.google.com/store/apps/developer?id=XDA","4.1","126","6","7","14","39","60"
"Message Quest — adventures of Feste (with ads)","Adventure","TeslaGames","https://play.google.com/store/apps/dev?id=7185759132943310350","4.3","60","7","1","4","4","44"
"I AM RICH","Tools","Johnson App's","https://play.google.com/store/apps/developer?id=Johnson+App%27s","4.5","215","22","2","4","2","185"
"[Substratum] Twilight Night Black","Personalization","Alice Project","https://play.google.com/store/apps/dev?id=6547192532146692983","3.8","105","25","0","8","13","59"
"KPSS Sen Bilirsin RAMAZAN YETGİN","Education","BENİM HOCAM DİJİTAL YAYİN","https://play.google.com/store/apps/developer?id=BEN%C4%B0M+HOCAM+D%C4%B0J%C4%B0TAL+YAY%C4%B0N","4.8","233","4","0","6","14","209"
"Animal Super Squad","Adventure","DoubleMoose Games","https://play.google.com/store/apps/developer?id=DoubleMoose+Games","4.7","186","4","3","7","8","164"
"Irex - Icon Pack","Personalization","Olivera Onias","https://play.google.com/store/apps/dev?id=8582752175205301328","4.3","10","0","1","2","0","7"
"Getting Over It with Bennett Foddy","Simulation","Noodlecake Studios Inc","https://play.google.com/store/apps/dev?id=9078867188205035581","4.1","247","33","8","16","29","161"
"Homo Machina","Puzzle","ARTE Experience","https://play.google.com/store/apps/developer?id=ARTE+Experience","4.1","92","8","6","7","20","51"
"My Little Princess : Fairy Forest","Educational","My Town Games Ltd","https://play.google.com/store/apps/dev?id=4907572025980617983","4.4","14","2","0","0","1","11"
"My Town : ICEE™ Amusement Park","Educational","My Town Games Ltd","https://play.google.com/store/apps/dev?id=4907572025980617983","4.8","92","3","1","2","4","82"
"Ultimate Farm Simulator","Simulation","Gluten Free Games","https://play.google.com/store/apps/dev?id=6871437821234630609","4.5","36","1","0","3","8","24"
"OnePlus Gestures — Gesture Control","Tools","Manuel Wrage","https://play.google.com/store/apps/developer?id=Manuel+Wrage","4.6","59","2","2","1","8","46"
"WonderBlocks","Puzzle","Silicon Studio","https://play.google.com/store/apps/developer?id=Silicon+Studio","4.9","403","3","0","3","15","382"
"Connect - colorful casual game","Casual","AppSoGreat","https://play.google.com/store/apps/developer?id=AppSoGreat","4.4","27","1","1","2","6","17"
"Sago Mini Apartment","Education","Sago Mini","https://play.google.com/store/apps/dev?id=6600704821286067966","4.2","17","1","1","2","3","10"
"Package Disabler Pro + (Samsung)","Business","policedeveloper","https://play.google.com/store/apps/developer?id=policedeveloper","4.4","10","1","0","1","0","8"
"Macibo - Icon Pack","Personalization","A1 Design","https://play.google.com/store/apps/dev?id=8878636829882194092","3.7","9","2","0","0","4","3"
"App lock & gallery vault","Tools","Best App - Top Droid Team","https://play.google.com/store/apps/developer?id=Best+App+-+Top+Droid+Team","4.6","113","6","0","6","11","90"
"EO Guide","Health & Fitness","Synceed GmbH","https://play.google.com/store/apps/developer?id=Synceed+GmbH","5.0","2","0","0","0","0","2"
"Bemmer - Icon Pack","Personalization","A1 Design","https://play.google.com/store/apps/dev?id=8878636829882194092","4.3","10","1","0","0","3","6"
"Linebit - Icon Pack","Personalization","Edzon DM","https://play.google.com/store/apps/dev?id=8091370783080636082","4.5","76","2","3","6","12","53"
"Фельдшер СМП","Medical","Московский фельдшер","https://play.google.com/store/apps/developer?id=%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D1%84%D0%B5%D0%BB%D1%8C%D0%B4%D1%88%D0%B5%D1%80","5.0","24","0","0","0","0","24"
"Minesweeper Genius","Puzzle","mgaia studio","https://play.google.com/store/apps/developer?id=mgaia+studio","4.9","24","0","0","1","0","23"
"ForzaTune 7","Tools","FlameFront Studios","https://play.google.com/store/apps/developer?id=FlameFront+Studios","4.4","27","0","2","4","3","18"
"R.B.I. Baseball 18","Sports","MLB Advanced Media, L.P.","https://play.google.com/store/apps/developer?id=MLB+Advanced+Media,+L.P.","4.1","70","6","3","6","15","40"
"SafeLiveAlert - Sin anuncios","Communication","SafeLiveAlertMX","https://play.google.com/store/apps/developer?id=SafeLiveAlertMX","2.8","25","10","3","1","3","8"
"Infinity war pelicula","Video Players & Editors","ARTAMY","https://play.google.com/store/apps/developer?id=ARTAMY","4.2","11","0","1","0","6","4"
